id	SampleID	BioSample	ID	SRA	SampleName	Collection_date	Depth	site	elevation	Broad_scale_environmental_context	Local_scale_environmental_context	Environmental_medium	Latitude_and_Longitude	Geographic Location	Study_zone	Ecological_type	Parametros	Temperatura	Salinidad	pH	Redox mV	S-2	SO4
S4B3040	S4B3040	S4B3040	RSP	S4B3040		2023-09-29	31-45	4B						Mexico:Tabasco	Rio San Pedro	Fringe	si	31.4	816.5	6.83	21	3.66	483
S4B5565	S4B5565	S4B5565	RSP	S4B5565		2023-09-29	50-70	4B						Mexico:Tabasco	Rio San Pedro	Fringe	no						
S5A07	S5A07	S5A07	RSP	S5A07		2023-09-29	0.15	5A						Mexico:Tabasco	Rio San Pedro	Fringe	no						
S5A1522	S5A1522	S5A1522	RSP	S5A1522		2023-09-29	16-30	5A						Mexico:Tabasco	Rio San Pedro	Fringe	no						
S5A3040	S5A3040	S5A3040	RSP	S5A3040		2023-09-29	31-45	5A						Mexico:Tabasco	Rio San Pedro	Fringe	si	31.9	757.6	6.91	-28	8.34	468
S5A5565	S5A5565	S5A5565	RSP	S5A5565		2023-09-29	50-70	5A						Mexico:Tabasco	Rio San Pedro	Fringe	no						
S5B07	S5B07	S5B07	RSP	S5B07		2023-09-29	0.15	5B						Mexico:Tabasco	Rio San Pedro	Fringe	no						
S5B1522	S5B1522	S5B1522	RSP	S5B1522		2023-09-29	16-30	5B						Mexico:Tabasco	Rio San Pedro	Fringe	no						
S5B3040	S5B3040	S5B3040	RSP	S5B3040		2023-09-29	31-45	5B						Mexico:Tabasco	Rio San Pedro	Fringe	si	31.5	754.6	7.04	23	2.28	534
S5B5060	S5B5060	S5B5060	RSP	S5B5060		2023-09-29	50-70	5B						Mexico:Tabasco	Rio San Pedro	Fringe	no						
S6A07	S6A07	S6A07	LC	S6A07		2023-09-30	0.15	6A						Mexico:Tabasco	Laguna Cacahuate	Fringe	no						
S6A1522	S6A1522	S6A1522	LC	S6A1522		2023-09-30	16-30	6A						Mexico:Tabasco	Laguna Cacahuate	Fringe	no						
S6A3040	S6A3040	S6A3040	LC	S6A3040		2023-09-30	31-45	6A						Mexico:Tabasco	Laguna Cacahuate	Fringe	si	28.3	442.6	6.86	65	1.07	312.4
S6A5060	S6A5060	S6A5060	LC	S6A5060		2023-09-30	50-70	6A						Mexico:Tabasco	Laguna Cacahuate	Fringe	no						
