# Constructed from biom file
#OTU ID	S1A015	S1A1530	S1A3050	S1A5075	S1B07	S1B2230	S1B3040	S1B6575	S2A1727	S2A3545	S2A5060	S2A515	S2B07	S2B1522	S2B3040	S2B5565	S3A07	S3A1522	S3A3040	S3A6070	S3B2030	S3B3545	S3B515	S3B6070	S4B07	S4B1522	S4B3040	S4B5565	S5A07	S5A1522	S5A3040	S5A5565	S5B07	S5B1522	S5B3040	S5B5060	S6A07	S6A1522	S6A3040	S6B07	S6B1522	S6B3040	S7A07	S7A1522	S7A3040	S7A5060	S7B07	S7B1522	S7B3040	S7B5060
PWY-6350	201.670270467299	1679.0388758256145	969.8293426568566	1436.4733112316387	456.05460073872683	9543.211310564355	8815.784264031778	12708.231435848236	12936.238782439712	3458.9841061571956	6635.429317512774	5786.221133909085	1049.6280112378681	7477.143351963271	4817.269381887716	4906.113204174276	763.6085175933007	6068.973768894588	5368.543625426403	13603.06139194943	8160.918635171678	5997.858398968026	5082.589380749534	20065.31381855919	911.9318057692701	1722.888221448061	3611.4026753508188	4974.783679903363	92.01576067253481	162.47621204887506	1209.340953525386	2861.6788984581176	432.4876182666679	1537.0069195213434	11706.479525706223	17337.066731473173	515.7072062423179	2217.138036021089	2344.0214269027056	178.11391191973593	1058.0979831065354	2185.6671891497153	712.8118686809511	2732.853408013887	5107.913915667758	2384.797037789186	287.4838696910031	1699.0542937608254	1278.327972054519	1719.3394616991372
PWY-6353	93590.27352776876	100648.31422340598	73258.12367006179	82064.38386911673	121397.73585002599	87852.81753362546	77032.42244991913	64307.75694903715	58944.12852144783	89058.94077920468	101611.07124092586	54576.9705185688	77497.96454622126	75427.31196399253	119089.06569237419	60717.19417995011	79021.39021219022	86121.42325960829	55672.5781409015	51211.78899081041	86684.80336894636	80971.82403620669	58986.72496303262	362436.42292375764	110786.41592059056	61769.164652627755	84793.59705018098	81537.74850024369	121150.30579005506	91652.78571964626	118003.00779569549	48369.853166070076	105677.35312444852	82701.86140956935	154095.1726824682	109672.19872271645	108720.63360962474	87944.26969040783	94663.85131901433	143862.00515156507	103404.2367482578	86585.64346603691	110249.47810576031	78772.16578867857	98925.34434259911	25783.637828834748	80893.72402133382	99166.30466326556	120535.54196781812	87382.38547452744
PWY-6383	1888.3943658179492	1327.416973327297	905.1385241999557	1288.525623320635	4159.994080185076	1885.1244459575587	2081.7070471193756	1389.3220404466388	1168.3444349112035	2997.6999298414416	2664.3472506935063	1140.339298615434	1951.2440646929142	1143.391559484214	1750.1655021567078	1679.058814529888	2456.863039176897	2326.370387755488	1372.4633393245751	2556.700705240269	2468.6217601853764	2469.9971646479144	1505.929861653265	6568.925881797467	2416.506596244531	1507.4809552535285	2315.8125555214992	1618.356999686305	4285.050925077932	2761.4508809556405	3003.5894740494437	1420.4150042931226	2946.5598406485356	2071.024505051133	2138.4366204077373	1728.0242412327016	4000.8520313150743	3580.146770685403	3059.0745172368825	7031.746850087147	4889.263233412025	3004.1052121376124	3142.325356198629	1996.111440230135	2312.2181860991245	534.1993827075382	2257.8740454327553	2391.319112685344	3276.5471455947136	2395.3433799778727
PWY-6385	164104.17784477273	191458.3965317847	133869.7586207989	136832.39262306696	158250.19251034033	160118.54628747425	121484.83904495691	130748.46676868765	123758.8994467437	135725.83699993513	166062.79404484067	111976.99805527274	125890.54668170403	125197.94477704512	149237.43586505766	99110.06750792626	100087.8543163507	116672.28024157297	84490.06409757353	65172.07551652518	150742.5776788044	132164.44734416725	96684.70991905557	430503.03645747434	191952.04272228212	114142.11455629462	154619.7760431793	150058.06351078337	160138.21016596924	135273.2795798979	183252.86222213486	79642.63349857499	157212.12772127189	135111.73045538523	224869.8412876888	163637.1306454562	175010.33050552144	152129.16130277416	137117.60632241762	193724.2079556959	160805.9449050631	138070.15337837036	168991.54538625703	149076.61724593423	178799.19113183898	50147.20718588199	119986.01543910823	163367.58096621197	182953.6548446548	132205.03258715352
PWY-6386	164540.58128675408	191508.31876636084	133945.03204567803	137063.95508548536	159430.56236878788	159943.31755617054	121802.08356340135	130570.13558600827	123203.51039408201	135989.87352413867	166356.564755437	111671.22439185785	126060.83113477875	124954.07173536903	149265.5848305222	99054.70138123688	100964.2117318231	116860.94567494588	84550.62846286254	65446.1412563575	150531.9775430542	132324.0762390849	96734.24794008334	431280.31864558026	192039.91279413344	114241.47840618363	154626.97324448163	150037.1109264929	161712.78501114206	136278.40199002877	184163.31489142086	79954.26003662785	157812.56032831917	135430.37395325585	224493.42474777089	163551.41607234708	175277.83548757568	151995.82431197158	137755.22133736208	194982.67633725202	161179.65508178386	138370.4058072967	169483.14805418046	148779.112143328	178604.13443747934	50073.96226763247	120499.75703455758	163577.72178283392	183832.20931121043	132823.15535507005
PWY-6387	170727.22042529294	198232.7176300656	138717.70016486905	140852.5909665576	162884.46528458805	165395.41155273962	125178.01516606999	135373.7649840095	127828.91176864658	139906.83735996147	171057.40950755245	115612.4639437463	130537.86558377245	129428.30048242127	154263.70127192343	102038.9169002762	102731.65230296519	120742.91568791762	88165.99990416032	66991.94643523823	155484.7738224907	136588.0568854461	99660.80245281267	442179.3183558204	199996.34382525083	117760.97230136399	159434.6915519948	155134.86960679252	165261.81576650022	138882.4917057886	188160.95611345122	81721.131484541	162781.52210264074	139268.36956225813	231801.9968462676	169788.33824392024	180619.2938440964	156964.78422260185	141204.41794773054	199509.19579640936	165219.4564117345	141969.9538196209	175162.84415476752	153812.64686151317	184517.3855098177	52231.327167769785	124653.10069746281	168887.70776074874	188383.58099300676	136281.3068875174
PWY-6396	8542.537143598827	7569.087021444973	6946.126227726485	8508.672299467073	18290.846990281076	11033.532157641403	11501.302223951148	6169.745473313176	5446.310844291245	12102.119419166615	13392.202223668592	5436.690757326792	9600.589131602914	9649.025037465046	21888.815107196493	8096.203179489965	12578.022095523354	11973.815315499782	7003.944259474356	11147.653849798684	11141.65948086106	11839.200388460518	6798.992584788544	51535.653260900894	9353.248073427303	5372.225298810456	8498.149013031087	7529.224076966949	19495.430911148458	13164.884388101742	15303.89005525935	6600.301483889581	13610.364600030362	10115.225169593321	19721.312061212946	14109.044922023497	9939.984885473868	8000.283592507917	13695.665362215845	19165.34530856255	12217.702442439155	10545.405638467646	9685.865132418128	6401.494786781417	9892.72022126859	2812.6570052758775	8000.821825486602	9699.214456843676	14421.312611594703	11760.134986893787
PWY-6397	147.93488686930388	127.60666402981946	94.14085478184849	128.2266485608968	437.33944833751576	213.16417167509883	202.3340154665648	157.89831586392793	108.56701479017642	231.45614719893805	238.37233748243932	139.232751143203	166.8844260030765	122.6885070006483	171.34949407162023	197.42071462509492	261.2503762888032	228.1838927611069	140.33309145219312	248.45276006716264	220.25798320908478	304.2752245383652	170.66656507335972	697.114205542001	196.85413395235003	104.24867202037852	209.35996081274703	143.68990483186244	411.79077584519797	267.942073699731	269.73072609967915	182.9765178796142	277.70248936032016	187.73536869078242	224.39911108013624	164.27672835138864	174.3067081153283	176.35845414431154	339.56092674994983	368.21345355914946	249.32886703360944	241.30802712588354	231.42771551700528	119.49957297083431	221.606043962351	60.25179427906162	162.25846249487392	174.3561768185599	324.4827282386305	226.13128136760153
PWY-6467	149076.08000000002	194820.92000000004	130340.39	138151.31	129648.49	154407.35999999996	96962.03	123944.53999999998	117319.97	121520.41	147143.76	111677.32	129203.05	122851.59000000001	140468.49	86408.95	77552.3	91103.44999999998	69291.98	50341.36	133354.55	113000.42999999998	86706.99000000002	368935.66	193507.27999999997	117502.05999999998	157661.87000000002	156627.84	122045.88999999997	113688.53	171012.55000000002	70517.39	143862.63	134753.12	223504.42999999996	151614.82	159935.49	145086.83000000002	120789.70999999998	157822.75	144513.25999999998	122507.61	156522.3	147747.63	170619.25	50160.840000000004	108085.38	159628.49999999997	169370.96000000002	121770.58
PWY-6470	49410.241730976384	43787.557461853656	30029.899705284457	38674.66817365495	82445.56373588949	46669.93702933939	48316.28381846938	33255.40926520237	28105.18563578515	56145.55149133544	62344.66620535258	27772.254369934504	41358.46493068321	35048.31847590731	43840.91542880974	38126.516984780836	55274.93609217169	49365.45771112066	31711.744497139094	25944.191823275265	51093.71109080526	51472.62222226932	31875.18201225404	161293.8623064468	49934.05138788355	28073.33531111865	46181.030381869015	41658.27565640803	86969.8560639639	64005.88961329869	76820.02340116091	27304.13620499547	63986.94715177304	45023.125641712715	49357.9110037013	45742.68730523358	54244.91959008929	39246.30700771353	59555.21268835176	85964.94857197838	57580.74699485662	50098.36439968188	49542.771717524985	34515.27993869708	49488.36986913235	13660.30861293685	43412.18825883023	43960.73681940824	73629.87497853472	56783.58516830672
PWY-6471	72716.44327743065	66123.9029569467	46668.04638995284	56511.4917863988	106789.87126656396	66763.42271091204	65177.08367825541	48263.02234140669	41897.46403453507	76224.2128622005	85182.1325928384	40734.456414381006	58886.8397334981	50954.411811148675	67752.74482696972	51760.26830776933	70836.41370084618	67180.25408328774	43978.20549974768	39525.73482359522	70790.6231737135	69469.39436980874	44243.98731271967	228538.47043925096	75678.71465690933	42635.140563686815	65637.06053076667	59897.378510901544	111940.80034260039	84514.16853014693	103459.76141395277	39831.314601690014	88019.4108082449	64785.6679932218	78916.01467679477	68698.23289508306	78491.94488111847	58484.29084894684	80092.27802843085	116425.08925606673	80519.98306825798	69900.39876929922	72748.39189058528	52204.42979880518	72365.52101860389	19741.313652737488	60430.08018554773	65991.66656662688	99918.13065363029	75736.74257683643
PWY-6478	32475.589771042218	51701.737985847205	28095.29208050508	32732.833926080937	22160.188782040455	40058.657960256576	20659.45107039595	31763.46342050709	29428.15074213839	24458.151282499537	32417.480894197994	31567.38884613938	36133.720113104464	34408.39405099165	23997.40289926997	21323.687324109324	15130.333829161951	16305.98772199885	15553.299745278202	5421.362793756106	31090.529135415214	23281.967795159602	21674.398252814095	53854.79997995238	53327.21305254735	31317.91078759623	38882.08273184309	37775.47904175083	20064.700123509436	18671.597690690858	31817.404581860585	15488.090067077263	32812.671165036096	26342.14110036262	48110.86992849269	28081.358364062773	36673.48334448081	35885.01896108403	26373.643547391006	36206.4348234401	33325.62610062454	27033.14034862261	40987.70215619135	35803.80034903955	39918.16180571631	11622.910995405111	29261.762514177077	40083.83306469821	40330.96761131037	25258.863482449564
