""	"observed"	"chao1"	"diversity_inverse_simpson"	"diversity_gini_simpson"	"diversity_shannon"	"diversity_fisher"	"diversity_coverage"	"evenness_camargo"	"evenness_pielou"	"evenness_simpson"	"evenness_evar"	"evenness_bulla"	"dominance_dbp"	"dominance_dmn"	"dominance_absolute"	"dominance_relative"	"dominance_simpson"	"dominance_core_abundance"	"dominance_gini"	"rarity_log_modulo_skewness"	"rarity_low_abundance"	"rarity_rare_abundance"
"S5B5060"	4017	4017	285.478166366996	0.996497105145637	6.79708961854154	694.688059084855	152	0.518591453003858	0.81909515080106	0.0710675046967875	0.295201432060143	0.377633005343654	0.0210349291939725	0.0400233128233876	4728	0.0210349291939725	0.00350289485436323	0.142168181555286	0.878148041807606	2.06141992365512	0.602276114588756	0.769260885620348
"S6A07"	1997	1997	223.61300251915	0.99552798813694	6.57572625497545	404.17495246011	150	0.76995965983175	0.8652952997838	0.111974462954006	0.41606980781441	0.499957503178784	0.0316530103313146	0.0620057000356252	1777	0.0316530103313146	0.00447201186305954	0.193213395083719	0.907265472381823	2.06142303617716	0.605236907730673	0.736604916280727
"S6A1522"	2253	2253	322.540663680045	0.996899615730338	6.75363117981405	448.040124139521	176	0.738272907694231	0.874820658698614	0.143160525379514	0.40106853242771	0.493763039477899	0.0235089887309854	0.0449289434195428	1598	0.0235089887309854	0.00310038426966215	0.159031394356666	0.89592710014665	2.06142303617716	0.621767146261806	0.776134992791361
"S6A3040"	1728	1728	109.640529953774	0.990879285238574	6.10303962831996	374.676333181602	75	0.64803573562384	0.81868127438384	0.0634493807602859	0.438775902496379	0.452329327698735	0.0490508447347988	0.0949423009986881	1832	0.0490508447347988	0.0091207147614264	0.340999759029693	0.930689460483023	2.06142303617716	0.504484725159978	0.572920292377306
"S6B07"	1826	1826	102.063198529682	0.990202149115392	6.08210456138473	300.396170858642	76	0.671549656721048	0.809880062293459	0.0558944132145028	0.33015993576453	0.445628101822892	0.0521624121770907	0.102069524399287	6823	0.0521624121770907	0.00979785088460831	0.333906714677798	0.932449829726238	2.06141779945854	0.520714356704357	0.608174124446687
"S6B1522"	2404	2404	163.682315682007	0.993890604517456	6.42572864378013	396.497007565378	111	0.706777911524876	0.825410407231668	0.0680874857246283	0.320548053006887	0.433920761381097	0.0383986351335451	0.0753265090010589	6527	0.0383986351335451	0.00610939548254405	0.254094599364631	0.912395094916178	2.06141886195822	0.563995764207554	0.679703494528768
"S6B3040"	3075	3075	183.964177371391	0.994564159097229	6.68542203124496	552.135076695065	157	0.617243834577499	0.832445764469998	0.0598257487386637	0.34314543629688	0.446058533309703	0.0384002107540002	0.073611380716009	5539	0.0384002107540002	0.00543584090277086	0.247518094340146	0.883103169670051	2.06142190441725	0.638612351293641	0.688153406727489
"S7A07"	2413	2413	244.718722956152	0.995913675962672	6.70379511503683	440.798761737992	176	0.777040742687154	0.860716005435659	0.101416793599731	0.366584640204594	0.490479432671579	0.0282992729322518	0.0552227540676622	2962	0.0282992729322518	0.00408632403732827	0.180209617166824	0.893417171023486	2.06142209868569	0.651982000057325	0.739698281215665
"S7A1522"	2504	2504	341.446060404822	0.997071279724785	6.82310237909237	474.774009421366	187	0.734754173057835	0.871890126956579	0.136360247765504	0.372632370207263	0.488440127987489	0.0202696107670784	0.0401704859717809	1869	0.0202696107670784	0.00292872027521533	0.13987007494008	0.88785063172844	2.06142303617716	0.651555738718319	0.776112442656197
"S7A3040"	2652	2652	282.77667035733	0.996463640374801	6.79839153060678	509.532902569984	186	0.6535010611148	0.862404125555573	0.106627703754649	0.37016522353555	0.479122588773227	0.0252123602322961	0.0487128369593482	2327	0.0252123602322961	0.00353635962519946	0.18919563144665	0.885372864954661	2.06142226012754	0.66529427060761	0.745016035364479
"S7A5060"	2214	2214	267.824824071909	0.996266216160263	6.65137251512056	479.983897941187	154	0.6191614124834	0.863527953228769	0.120968755226698	0.419449044969403	0.482350414383857	0.0231834415923474	0.0433801875561311	1110	0.0231834415923474	0.00373378383973662	0.178596044194741	0.901366000241012	2.06142303617716	0.613880824578625	0.727020196745964
"S7B07"	1681	1681	174.587779419459	0.994272222240725	6.42715902307415	346.292264351867	135	0.745332318606638	0.865360750731044	0.103859476156728	0.446651451305418	0.521724833334954	0.0395653258921482	0.0775879670591438	1744	0.0395653258921482	0.00572777775927506	0.226366296876063	0.917779424762443	2.06142303617716	0.595657796229497	0.696567526486536
"S7B1522"	2879	2879	318.586228548657	0.996861132370487	6.95761332015165	590.11300710085	221	0.726055194827167	0.873501583551527	0.110658641385431	0.43883788418389	0.513569296992143	0.0246012365563464	0.0474359640463449	1894	0.0246012365563464	0.00313886762951297	0.168208032420637	0.861626508132019	2.06142303617716	0.683950745570738	0.755663220242116
"S7B5060"	3195	3195	115.918574378468	0.991373254844085	6.45415064661483	625.637321134104	103	0.560031403750321	0.799836015529602	0.0362812439369228	0.402017939129304	0.418587379161855	0.0503739337046703	0.0973298796400888	5173	0.0503739337046703	0.00862674515591479	0.32912982510809	0.886824864879998	2.06142198792445	0.571310326023449	0.580269154364507
