# Constructed from biom file
#OTU ID	S1A015	S1A1530	S1A3050	S1A5075	S1B07	S1B2230	S1B3040	S1B6575	S2A1727	S2A3545	S2A5060	S2A515	S2B07	S2B1522	S2B3040	S2B5565	S3A07	S3A1522	S3A3040	S3A6070	S3B2030	S3B3545	S3B515	S3B6070	S4B07	S4B1522	S4B3040	S4B5565	S5A07	S5A1522	S5A3040	S5A5565	S5B07	S5B1522	S5B3040	S5B5060	S6A07	S6A1522	S6A3040	S6B07	S6B1522	S6B3040	S7A07	S7A1522	S7A3040	S7A5060	S7B07	S7B1522	S7B3040	S7B5060
K00427	7141.36	6055.549999999999	3931.42	5576.879999999999	17115.31	7699.120000000001	8999.730000000001	5345.57	4538.49	10357.240000000002	11379.119999999999	4378.360000000001	5829.77	4745.82	8201.55	6640.15	11674.28	11118.49	5514.33	9330.529999999999	8695.08	9798.380000000001	5449.27	38704.479999999996	6995.42	3892.59	7744.01	6487.36	18147.39	13191.68	13918.48	6764.23	11143.71	7579.43	8462.919999999998	12181.86	8730.0	5787.08	11353.89	16685.68	9518.86	8247.76	7617.48	4791.45	8163.719999999999	2511.18	5655.39	6363.07	13456.329999999998	11331.92
K00428	81017.6	65671.88	52492.86	38818.869999999995	57898.229999999996	19769.9	13861.470000000001	12490.740000000002	13622.45	33110.31	25015.8	13534.689999999999	33383.56	19315.760000000002	33027.97	11847.300000000001	19940.839999999997	17701.280000000002	11052.630000000001	12688.599999999999	16512.34	16337.269999999999	17069.239999999998	110349.82	90728.0	31256.909999999996	23957.93	28772.350000000002	78460.78	49627.34	57525.740000000005	10999.85	63352.01	45784.64	79930.29999999999	30797.63	66634.41	44178.92999999999	32108.700000000004	66747.3	43244.990000000005	35768.1	81999.81	37960.52	32374.799999999996	6199.71	53013.98	57594.7	42965.69	26250.91
K00430	25.0	24.0	14.0	35.0	80.0	44.0	51.0	26.0	15.0	40.0	34.0	21.0	19.0	20.0	28.0	35.0	41.0	45.0	31.0	40.0	33.0	46.0	20.0	101.0	23.0	13.0	27.0	19.0	63.0	42.0	59.0	32.0	38.0	34.0	25.0	34.0	19.0	31.0	59.0	45.0	50.0	36.0	31.0	28.0	56.0	6.0	23.0	44.0	50.0	40.0
K00432	120956.9	107101.42	88175.20999999999	77538.23000000001	149693.72	75719.69	74810.32	44970.3	44214.91	94294.85999999999	92958.32	42940.17999999999	76080.14	62441.53	139277.65999999997	51551.45	88074.34999999998	82181.76	46763.95	52149.58	70573.67	75697.8	59496.530000000006	417063.94999999995	129861.01000000001	60831.369999999995	74044.48	69363.45000000001	160984.35	115580.90000000001	140682.24	46273.91	125095.93	99871.9	175905.82	120542.06	114613.29999999999	83026.86	96978.4	161922.74	104398.31	89251.03	118931.57	68894.27	88554.20999999999	20569.65	84790.75	102708.95	115841.85	84832.70999999999
K00433	10191.41	12532.030000000002	9814.48	5591.95	14021.64	7244.469999999999	5542.799999999999	3415.0600000000004	2983.87	7009.79	7119.83	2993.64	6959.6	4016.79	7759.33	3655.59	7062.19	6843.8	4493.0199999999995	5817.15	4777.32	4772.97	3599.8499999999995	18713.969999999998	16573.58	7646.83	5726.05	6438.8	14919.57	8917.41	12011.1	5226.48	12961.57	9216.74	16195.880000000001	8839.14	14451.289999999999	12256.34	10188.05	19035.78	11667.099999999999	9795.45	20763.07	9847.27	8574.420000000002	1746.6599999999999	12411.02	14671.199999999999	13084.310000000001	8204.49
K00435	185.0	125.0	84.0	104.0	381.0	189.0	215.0	167.0	101.0	254.0	202.0	88.0	173.0	107.0	166.0	152.0	267.0	248.0	133.0	112.0	185.0	217.0	147.0	661.0	203.0	89.0	217.0	156.0	509.0	343.0	407.0	133.0	266.0	201.0	940.0	560.0	222.0	123.0	259.0	504.0	277.0	180.0	175.0	133.0	220.0	58.0	195.0	214.0	336.0	245.0
K00436	2370.25	4907.5	4905.0	2939.0	3601.0	501.5	115.0	316.75	403.0	1135.25	626.75	808.0	1832.0	1061.75	625.75	249.75	281.0	31.0	136.25	16.0	157.0	129.25	226.75	456.75	8897.0	2809.5	2157.5	2545.5	1495.75	3005.0	3731.25	999.5	4540.75	4395.75	5522.75	1174.5	4863.5	2063.75	1316.5	3626.25	1906.75	1960.25	6554.75	1635.75	866.25	177.5	3295.75	3985.5	1340.5	846.0
K00437	4901.5	24897.5	15143.0	21821.5	8325.5	24679.5	15311.0	21228.0	17144.5	13991.0	21417.0	17261.0	16463.0	17036.5	11856.0	12798.5	7882.5	13680.0	8853.0	5002.0	20306.0	16127.0	11129.5	36380.0	17928.0	17147.0	28299.5	27832.0	2873.5	7312.5	22240.5	12073.0	12087.0	17707.0	21968.5	18238.0	11145.0	14116.0	13201.0	8099.5	14384.5	11725.5	11477.5	20135.0	23272.5	8299.0	7925.0	17468.0	20872.5	17071.0
K00441	1520.0	4902.0	1912.0	3182.0	2118.0	9038.0	8356.0	12172.0	11858.0	3269.0	6197.0	5731.0	4467.0	7010.0	4383.0	4215.0	978.0	5646.0	5148.0	13155.0	7293.0	5567.0	4871.0	18582.0	5397.0	3494.0	4745.0	5401.0	809.0	1038.0	2687.0	2603.0	2637.0	2874.0	11889.0	16223.0	1902.0	3540.0	2501.0	1795.0	2301.0	2694.0	4417.0	3745.0	4909.0	2163.0	2595.0	4184.0	2452.0	2062.0
K00442	16.5	115.0	41.5	33.0	70.0	6.0	0.0	0.0	0.0	4.0	0.0	6.0	366.0	11.0	12.0	8.0	52.5	0.0	38.5	0.0	6.5	0.0	13.5	13.5	273.5	64.0	65.0	22.5	6.0	25.5	113.0	3.0	119.0	27.5	37.5	3.0	10.0	13.0	0.0	7.0	21.0	0.0	116.0	7.0	0.0	0.0	41.0	63.0	15.0	11.0
